state_name,lga_name,ward_name,name,pu_code,document.url
ABIA,ABA NORTH,,ST EUGENES PRIMARY SCHOOL X,01/01/05/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/027/027-1677420607.pdf
ABIA,ABA NORTH,,ASA OKPUAJA PRIMARY SCHOOL I,01/01/05/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/028/028-1677419795.pdf
ABIA,ABA NORTH,,EKWEREAZU TOWN HALL II,01/01/05/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/029/029-1677419225.pdf
ABIA,ABA NORTH,,ST EUGENE PRIMARY SCHOOL IX,01/01/05/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/026/026-1677418351.pdf
ABIA,ABA NORTH,,ST EUGENE PRIMARY SCHOOL VIII,01/01/05/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/025/025-1677418049.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE VII,01/01/05/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/022/022-1677417589.pdf
ABIA,ABA NORTH,,ST EUGENES PRIMARY SCHOOL VII,01/01/05/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/024/024-1677417503.pdf
ABIA,ABA NORTH,,SACRED HEART COLLEGE VI,01/01/05/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/021/021-1677416831.pdf
ABIA,ABA NORTH,,HOLY GHOST COM. SCH. VII,01/01/05/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/020/020-1677416722.pdf
ABIA,ABA NORTH,,EKWEREAZU TOWN HALL - TOWN HALL,01/01/05/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/019/019-1677416522.pdf
ABIA,ABA NORTH,,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES VI,01/01/05/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/018/018-1677415886.pdf
