state_name,lga_name,ward_name,name,pu_code,document.url
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES II,01/01/06/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/112/result_160885_1677685163_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL XXII,01/01/06/041,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com
ABIA,ABA NORTH,,URATTA COUNCIL HALL XXI,01/01/06/040,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618364/result_160923_1677685013_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL XIX,01/01/06/038,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618363/result_160921_1677684878_thumb.jpg
ABIA,ABA NORTH,,UMUOGBUJI URATTA COUNCIL HALL IV,01/01/06/036,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618361/result_160919_1677684694_thumb.jpg
ABIA,ABA NORTH,,UMUOGBUJI COUNCIL HALL III,01/01/06/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618360/result_160918_1677684625_thumb.jpg
ABIA,ABA NORTH,,UMUOGBUJI COUNCIL HALL II,01/01/06/034,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618359/result_160917_1677684457_thumb.jpg
ABIA,ABA NORTH,,UMUOGUJI URATTA COUNCIL HALL I,01/01/06/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618358/result_160916_1677684156_thumb.jpg
ABIA,ABA NORTH,,CIVIC CENTRE III,01/01/06/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618357/result_160915_1677682938_thumb.jpg
ABIA,ABA NORTH,,MIGRANT FARMERS PRIMARY SCH. II,01/01/06/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618353/result_160911_1677679742_thumb.jpg
ABIA,ABA NORTH,,MIGRANT FARMERS PRI. SCHOOL I,01/01/06/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618352/result_160910_1677673405_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES IX,01/01/06/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/136/result_160909_1677673118_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES VII,01/01/06/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/134/result_160907_1677672654_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES VI,01/01/06/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/133/result_160906_1677672413_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES V,01/01/06/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/132/result_160905_1677672170_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES IV,01/01/06/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/131/result_160904_1677671962_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES III,01/01/06/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/130/result_160903_1677671852_thumb.jpg
ABIA,ABA NORTH,,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES I,01/01/06/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/128/result_160901_1677671263_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES XVI,01/01/06/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/126/result_160899_1677670996_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES XV,01/01/06/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/125/result_160898_1677670846_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES XIV,01/01/06/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/124/result_160897_1677670519_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES XIII,01/01/06/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/123/result_160896_1677670294_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES XII,01/01/06/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/122/result_160895_1677670167_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES XI,01/01/06/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/121/result_160894_1677670017_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES I,01/01/06/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/111/result_160884_1677511752_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES V,01/01/06/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/115/result_160888_1677514172_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES VII,01/01/06/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117/result_160890_1677514728_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES X,01/01/06/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/120/result_160893_1677517115_thumb.jpg
ABIA,ABA NORTH,,URATTA COUNCIL HALL  - HALL PREMISES XVII,01/01/06/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/127/result_160900_1677485162_thumb.jpg
ABIA,ABA NORTH,,CIVI C CENTRE I,01/01/06/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/618355/result_160913_1677494996_thumb.jpg
