state_name,lga_name,ward_name,name,pu_code,document,uploaded_at,has_old_documents,json_url
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,LADUBA  AREA COURT I,23/01/11/002,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,LADUBA  AREA COURT II,23/01/11/003,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,LADUBA  L.G.E.A.SCH,23/01/11/001,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,LADUBA LGEA SCH II,23/01/11/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu/009/009-1677400626.pdf,2023-02-26T08:38:01.914Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,SAPATI COMMUNITY SEC SCHOOL,23/01/11/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu/011/011-1677392126.pdf,2023-02-26T06:56:38.087Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,SAPATI-ILE  L.G.E.A.SCH,23/01/11/005,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,SAPATI-ILE LGEA SCH II,23/01/11/010,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,AGO-OJA/OSHIN/SAPATI/LADUBA,TERU OPEN SPACE,23/01/11/008,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23101-ago-oja-oshin-sapati-laduba/polling-units.json
KWARA,ASA,BALLAH/OTTE,ARAROMI  L.G.E.A.SCH,23/01/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/004/004-1677374299.pdf,2023-02-26T01:19:01.649Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,AREA COURT BALLAH,23/01/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/008/008-1677374714.pdf,2023-02-26T01:26:59.658Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,BALLAH  L.G.E.A.SCH,23/01/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/003/003-1677387764.pdf,2023-02-26T05:04:01.539Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,BALLAH LGEA SCH II,23/01/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/013/013-1677390339.pdf,2023-02-26T05:47:01.134Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,BUDO ARE  L.G.E.A.SCH,23/01/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/002/002-1677388589.pdf,2023-02-26T05:17:02.015Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,EYENKORIN  L.G.E.A.SCH,23/01/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/005/005-1677385923.pdf,2023-02-26T04:58:07.291Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
KWARA,ASA,BALLAH/OTTE,EYENKORIN LGEA SCH II,23/01/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/015/015-1677389449.pdf,2023-02-26T05:32:01.421Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23099-ballah-otte/polling-units.json
